customer_id,clv_decile,churn_risk,current_bb_speed,network_activity,account_tenure,time_of_last_broadband_upgrade,broadband_type,customer_segment
3814,8,0,500mb,heavy,63,2016-12-20,Fiber,Foolproof Followers
99184,9,0,1Gig,medium,80,2025-02-01,Fiber,Settled Simplifiers
80738,2,0,1Gig,heavy,115,2023-01-24,Fiber,Settled Simplifiers
65675,8,0,1Gig,medium,78,2018-02-17,Fiber,Aspirational Adopters
53671,10,0,1Gig,medium,48,2022-04-12,Fiber,Settled Simplifiers
97105,8,0,1Gig,light,1,2024-11-13,Fiber,Settled Simplifiers
38744,9,0,1Gig,light,52,2023-10-16,Fiber,Aspirational Adopters
36889,9,0,1Gig,heavy,29,2021-12-23,Fiber,Foolproof Followers
75155,7,0,2Gig,light,76,2020-01-26,Fiber,Peak Performers
1327,6,0,500mb,medium,36,2022-06-18,Fiber,Budget Balancers
29764,3,0,2Gig,medium,52,2020-12-25,Fiber,Budget Balancers
41961,5,0,2Gig,medium,89,2023-07-15,Fiber,Foolproof Followers
79115,5,0,1Gig,medium,54,2022-01-24,Fiber,Settled Simplifiers
7297,2,0,2Gig,medium,116,2021-03-02,Fiber,Settled Simplifiers
17627,3,0,2Gig,medium,101,2016-10-20,Fiber,Foolproof Followers
67643,9,0,1Gig,medium,104,2022-06-27,Fiber,Foolproof Followers
65205,1,0,500mb,light,92,2025-08-08,Fiber,Foolproof Followers
20054,1,0,500mb,medium,112,2017-01-05,Fiber,Foolproof Followers
65686,7,0,2Gig,light,112,2018-10-20,Fiber,Peak Performers
94688,7,1,500mb,medium,52,2022-12-25,Fiber,Foolproof Followers
86061,7,0,500mb,light,9,2018-02-05,Fiber,Aspirational Adopters
95190,1,0,1Gig,medium,21,2016-09-20,Fiber,Settled Simplifiers
8956,9,0,Copper,medium,79,2017-04-26,Copper,Peak Performers
93017,2,0,1Gig,medium,85,2021-06-21,Fiber,Budget Balancers
8645,5,0,1Gig,medium,45,2016-08-13,Fiber,Settled Simplifiers
91228,2,0,500mb,heavy,32,2024-04-25,Fiber,Settled Simplifiers
28318,9,0,1Gig,medium,10,2019-08-25,Fiber,Budget Balancers
98200,10,0,2Gig,light,85,2022-07-07,Fiber,Foolproof Followers
34770,10,0,500mb,light,108,2025-06-17,Fiber,Budget Balancers
61400,3,0,1Gig,medium,113,2019-04-17,Fiber,Settled Simplifiers
49,8,0,1Gig,medium,72,2020-05-13,Fiber,Settled Simplifiers
25303,9,0,500mb,light,69,2020-03-21,Fiber,Budget Balancers
89381,2,0,500mb,light,64,2022-08-12,Fiber,Peak Performers
92981,4,0,500mb,heavy,15,2020-05-16,Fiber,Settled Simplifiers
7764,2,0,500mb,medium,71,2017-03-12,Fiber,Settled Simplifiers
50061,3,0,1Gig,heavy,22,2025-02-12,Fiber,Peak Performers
61630,7,0,2Gig,light,18,2018-11-24,Fiber,Peak Performers
27839,2,0,500mb,heavy,2,2023-07-14,Fiber,Aspirational Adopters
36994,10,0,2Gig,heavy,118,2021-04-26,Fiber,Settled Simplifiers
81367,2,0,1Gig,heavy,61,2022-06-29,Fiber,Foolproof Followers
36902,2,0,1Gig,light,31,2025-03-20,Fiber,Foolproof Followers
67325,9,0,500mb,light,86,2021-02-11,Fiber,Peak Performers
9506,5,0,2Gig,medium,69,2023-07-04,Fiber,Peak Performers
13461,4,0,2Gig,heavy,107,2022-05-06,Fiber,Budget Balancers
41385,3,0,1Gig,medium,26,2018-03-25,Fiber,Settled Simplifiers
41122,8,0,500mb,medium,97,2021-09-19,Fiber,Settled Simplifiers
98927,6,0,500mb,light,66,2022-07-07,Fiber,Peak Performers
9705,8,0,2Gig,light,32,2017-07-21,Fiber,Foolproof Followers
56053,1,0,2Gig,medium,21,2020-05-22,Fiber,Peak Performers
96831,9,0,500mb,medium,113,2022-09-06,Fiber,Foolproof Followers
23269,4,0,Copper,medium,88,2018-12-28,Copper,Aspirational Adopters
64001,2,0,1Gig,light,59,2021-11-19,Fiber,Settled Simplifiers
68485,4,0,1Gig,medium,14,2017-01-13,Fiber,Settled Simplifiers
15836,8,0,500mb,light,110,2018-07-14,Fiber,Budget Balancers
21969,6,0,500mb,medium,15,2023-06-24,Fiber,Foolproof Followers
26822,4,0,500mb,medium,51,2018-10-10,Fiber,Settled Simplifiers
68790,10,0,500mb,medium,33,2024-03-15,Fiber,Foolproof Followers
45993,8,0,500mb,light,118,2020-03-11,Fiber,Settled Simplifiers
19662,10,0,Copper,heavy,66,2017-06-11,Copper,Foolproof Followers
23433,1,0,500mb,medium,89,2022-08-12,Fiber,Foolproof Followers
16695,9,0,2Gig,medium,97,2023-06-25,Fiber,Budget Balancers
18764,7,0,500mb,heavy,97,2019-12-25,Fiber,Aspirational Adopters
7614,4,0,Copper,medium,56,2024-04-09,Copper,Peak Performers
82531,9,0,500mb,heavy,35,2025-08-17,Fiber,Settled Simplifiers
62337,4,0,500mb,medium,89,2025-03-14,Fiber,Peak Performers
56796,8,0,1Gig,light,96,2019-02-15,Fiber,Peak Performers
13693,7,0,2Gig,medium,60,2023-01-30,Fiber,Peak Performers
17178,5,0,500mb,medium,63,2016-08-24,Fiber,Foolproof Followers
93456,3,0,500mb,light,6,2023-02-01,Fiber,Peak Performers
97088,9,0,1Gig,light,13,2023-06-02,Fiber,Peak Performers
24970,1,0,500mb,medium,45,2016-04-30,Fiber,Peak Performers
11546,4,0,1Gig,light,41,2019-12-02,Fiber,Settled Simplifiers
94972,7,0,2Gig,heavy,103,2024-05-14,Fiber,Budget Balancers
62623,2,0,1Gig,medium,19,2019-04-04,Fiber,Budget Balancers
18815,2,0,2Gig,medium,28,2019-09-14,Fiber,Settled Simplifiers
59557,4,0,2Gig,medium,42,2018-08-08,Fiber,Foolproof Followers
28053,5,0,500mb,heavy,54,2016-04-23,Fiber,Settled Simplifiers
48636,7,0,2Gig,light,99,2019-06-20,Fiber,Budget Balancers
90437,10,0,500mb,medium,42,2017-07-03,Fiber,Foolproof Followers
32353,4,0,500mb,heavy,71,2017-03-21,Fiber,Budget Balancers
52360,4,0,1Gig,light,56,2019-03-14,Fiber,Settled Simplifiers
5143,7,0,Copper,medium,12,2024-01-29,Copper,Settled Simplifiers
84406,1,0,Copper,heavy,71,2024-02-10,Copper,Settled Simplifiers
52983,7,0,1Gig,medium,111,2018-09-13,Fiber,Settled Simplifiers
35661,9,0,Copper,medium,2,2025-03-12,Copper,Foolproof Followers
47149,10,0,500mb,light,87,2016-12-15,Fiber,Budget Balancers
27178,6,0,2Gig,light,51,2023-09-21,Fiber,Foolproof Followers
23550,9,0,Copper,light,39,2020-09-10,Copper,Settled Simplifiers
99279,7,0,1Gig,medium,96,2024-05-21,Fiber,Peak Performers
23012,4,0,2Gig,medium,11,2020-08-05,Fiber,Settled Simplifiers
6745,5,0,500mb,heavy,34,2019-11-30,Fiber,Foolproof Followers
59949,6,0,1Gig,medium,106,2017-04-13,Fiber,Peak Performers
53919,2,0,500mb,light,119,2022-04-05,Fiber,Settled Simplifiers
82002,2,0,1Gig,light,18,2022-08-28,Fiber,Settled Simplifiers
83900,10,0,2Gig,medium,117,2022-07-28,Fiber,Budget Balancers
23397,10,0,Copper,medium,89,2024-09-02,Copper,Settled Simplifiers
79905,9,0,2Gig,light,33,2022-12-29,Fiber,Foolproof Followers
76442,6,0,500mb,light,65,2018-11-08,Fiber,Settled Simplifiers
24559,3,1,1Gig,medium,9,2016-04-10,Fiber,Peak Performers
94584,8,0,500mb,medium,54,2018-03-22,Fiber,Settled Simplifiers
54976,6,0,500mb,medium,107,2020-06-16,Fiber,Budget Balancers
44097,9,0,2Gig,heavy,100,2023-06-03,Fiber,Peak Performers
68878,9,0,2Gig,medium,45,2025-03-31,Fiber,Budget Balancers
12102,7,0,500mb,heavy,115,2024-03-09,Fiber,Foolproof Followers
49971,6,0,1Gig,light,49,2018-12-05,Fiber,Peak Performers
72406,5,0,500mb,medium,101,2016-07-03,Fiber,Peak Performers
89021,4,0,500mb,medium,65,2017-07-25,Fiber,Peak Performers
26690,2,0,2Gig,light,84,2022-06-27,Fiber,Peak Performers
86898,10,0,1Gig,medium,116,2022-01-24,Fiber,Settled Simplifiers
24147,9,0,1Gig,heavy,28,2025-04-14,Fiber,Peak Performers
65790,9,0,500mb,light,1,2017-01-04,Fiber,Budget Balancers
301,10,0,1Gig,heavy,82,2020-11-09,Fiber,Peak Performers
26153,9,0,1Gig,medium,79,2021-09-03,Fiber,Foolproof Followers
62627,6,0,1Gig,medium,107,2021-06-19,Fiber,Settled Simplifiers
31188,8,0,1Gig,medium,48,2025-04-24,Fiber,Foolproof Followers
10819,7,0,2Gig,medium,99,2025-04-07,Fiber,Budget Balancers
24394,7,0,500mb,medium,90,2022-04-06,Fiber,Peak Performers
92697,3,0,1Gig,medium,48,2023-02-28,Fiber,Budget Balancers
72051,5,0,1Gig,heavy,77,2018-06-11,Fiber,Peak Performers
