Period,Quarter_Label,Year,Quarter,Type,Is_Forecast,Active,Inactive,Total,Active_Pct,Inactive_Pct
0,2021 Q4,2021,4,Historical,False,60003.0,268.0,60271.0,99.56,0.44
1,2022 Q1,2022,1,Historical,False,118638.0,779.0,119417.0,99.35,0.65
2,2022 Q2,2022,2,Historical,False,177124.0,1617.0,178741.0,99.1,0.9
3,2022 Q3,2022,3,Historical,False,236079.0,2982.0,239061.0,98.75,1.25
4,2022 Q4,2022,4,Historical,False,294980.0,5020.0,300000.0,98.33,1.67
5,2023 Q1,2023,1,Historical,False,293371.0,6629.0,300000.0,97.79,2.21
6,2023 Q2,2023,2,Historical,False,291284.0,8716.0,300000.0,97.09,2.91
7,2023 Q3,2023,3,Historical,False,288634.0,11366.0,300000.0,96.21,3.79
8,2023 Q4,2023,4,Historical,False,285100.0,14900.0,300000.0,95.03,4.97
9,2024 Q1,2024,1,Historical,False,280654.0,19346.0,300000.0,93.55,6.45
10,2024 Q2,2024,2,Historical,False,274934.0,25066.0,300000.0,91.64,8.36
11,2024 Q3,2024,3,Historical,False,267473.0,32527.0,300000.0,89.16,10.84
12,2024 Q4,2024,4,Historical,False,257976.0,42024.0,300000.0,85.99,14.01
13,2025 Q1,2025,1,Historical,False,246196.0,53804.0,300000.0,82.07,17.93
14,2025 Q2,2025,2,Historical,False,230842.0,69158.0,300000.0,76.95,23.05
15,2025 Q3,2025,3,Historical,False,210774.0,89226.0,300000.0,70.26,29.74
16,2025 Q4,2025,4,Historical,False,185139.0,114861.0,300000.0,61.71,38.29
17,2026 Q1,2026,1,Forecast,True,172179.0,127821.0,300000.0,57.39,42.61
18,2026 Q2,2026,2,Forecast,True,160127.0,139873.0,300000.0,53.38,46.62
19,2026 Q3,2026,3,Forecast,True,148918.0,151082.0,300000.0,49.64,50.36
20,2026 Q4,2026,4,Forecast,True,18789.0,41482.0,60271.0,31.17,68.83
21,2027 Q1,2027,1,Forecast,True,37149.0,82268.0,119417.0,31.11,68.89
22,2027 Q2,2027,2,Forecast,True,55463.0,123278.0,178741.0,31.03,68.97
23,2027 Q3,2027,3,Forecast,True,73924.0,165137.0,239061.0,30.92,69.08
24,2027 Q4,2027,4,Forecast,True,92368.0,207632.0,300000.0,30.79,69.21
